Standardized_SMILES,CMPD_CHEMBLID,CANONICAL_SMILES,RELATION,STANDARD_VALUE,STANDARD_UNITS,PROTEIN_ACCESSION,PREF_NAME,PUBMED_ID,JOURNAL,YEAR,VOLUME,ISSUE,FIRST_PAGE,MOLWEIGHT,ALOGP,PSA,NUM_RO5_VIOLATIONS
COC1=CC(=CC(OC)=C1OC)C1=CN=C2C=CC=C(C3=CC=C(CN4CCS(=O)(=O)CC4)C=C3)C2=N1,CHEMBL1089833,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2,=,14,nM,O60674,Tyrosine-protein kinase JAK2,20231096,Bioorg. Med. Chem. Lett.,2010,20,8,2609,519.61,4.2,99.23,1
CN1CCN(CC1)C1=CC=C(C=C1)C1=CN=C2C=CC=C(C3=CC(F)=C(CN4CCOCC4)C(F)=C3)C2=N1,CHEMBL1089773,CN1CCN(CC1)c2ccc(cc2)c3cnc4cccc(c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3,=,4.3,nM,O60674,Tyrosine-protein kinase JAK2,20231096,Bioorg. Med. Chem. Lett.,2010,20,8,2609,515.6,5.05,44.73,2
C[C@H](NC1=NC=C(F)C(NC2=NNC(C)=C2)=N1)C1=NC=C(F)C=N1,CHEMBL1650697,C[C@H](Nc1ncc(F)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3,=,5,nM,O60674,Tyrosine-protein kinase JAK2,21138246,J. Med. Chem.,2011,54,1,262,332.31,2.19,104.3,0
COC1=CC=C2C=C1COC\C=C\COCC1=CC(NC3=NC=CC2=N3)=CC=C1OCCN1CCCC1,CHEMBL2181313,COc1ccc2cc1COCC=CCOCc3cc(Nc4nccc2n4)ccc3OCCN5CCCC5,=,19,nM,O60674,Tyrosine-protein kinase JAK2,21604762,J. Med. Chem.,2011,54,13,4638,502.6,4.53,77.97,1
COC1=CC=C2NC3=NC=CC(=N3)C3=CC=CC(OC\C=C\COCC1=C2)=C3,CHEMBL2181318,COc1ccc2Nc3nccc(n3)c4cccc(OCC=CCOCc1c2)c4,=,260,nM,O60674,Tyrosine-protein kinase JAK2,21604762,J. Med. Chem.,2011,54,13,4638,375.42,4.13,65.5,0
C[C@H](NC1=CC=NC(=N1)N1C=NC2=CC=NC=C12)C1=CC=C(Cl)C=C1,CHEMBL218746,C[C@H](Nc1ccnc(n1)n2cnc3ccncc23)c4ccc(Cl)cc4,=,51,nM,O60674,Tyrosine-protein kinase JAK2,16934457,Bioorg. Med. Chem. Lett.,2006,16,21,5633,350.8,3.69,68.52,0
COC[C@H](C)NC1=CC(=NC(=N1)N1C=NC2=CC=NC=C12)C1=COC=C1,CHEMBL220484,COC[C@H](C)Nc1cc(nc(n1)n2cnc3ccncc23)c4cocc4,=,446,nM,O60674,Tyrosine-protein kinase JAK2,16934457,Bioorg. Med. Chem. Lett.,2006,16,21,5633,350.37,2.36,90.89,0
CC1=CC=CC(NC2=NC(N)=NC(CCl)=N2)=C1C,CHEMBL1447125,Cc1cccc(Nc2nc(N)nc(CCl)n2)c1C,=,2072,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,263.73,3.25,76.72,0
[O-][N+]1=C2C=CC(NC3=CC=CC=C3)=CC2=NC11CCCCC1,CHEMBL1318943,[O-][N+]1=C2C=CC(=CC2=NC13CCCCC3)Nc4ccccc4,=,5197,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,293.36,2.68,53.14,0
OC1=CC=C(\C=C2/SC(=S)N(NC3=CC=CC=C3)C2=O)C=C1O,CHEMBL1575649,Oc1ccc(\C=C\2/SC(=S)N(Nc3ccccc3)C2=O)cc1O,=,10990,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,344.41,4.16,130.19,0
COC1=CC2=C(C=C1OC)C1=CC(=NC(=O)N1CC2)N1CCCC2=CC=CC=C12,CHEMBL1420155,COc1cc2CCN3C(=O)N=C(C=C3c2cc1OC)N4CCCc5ccccc45,=,35640,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,389.45,3.56,54.37,0
CC1=CC=C2N=C(C)C=C(NC3=CC=C(C=C3)[N+]([O-])=O)C2=C1,CHEMBL1501466,Cc1ccc2nc(C)cc(Nc3ccc(cc3)[N+](=O)[O-])c2c1,=,3311,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,293.32,4.23,70.74,0
CN(C)C(=S)SSC(=S)N(C)C,CHEMBL120563,CN(C)C(=S)SSC(=S)N(C)C,=,223,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,240.43,4.2,121.26,0
OC1=CC=C(\C=N\N2CCN(CC2)C2C3=CC=CC=C3C3=CC=CC=C23)C=C1O,CHEMBL3196363,Oc1ccc(\C=N\N2CCN(CC2)C3c4ccccc4c5ccccc35)cc1O,=,5677,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,385.46,3.92,59.3,0
COC1(OC)[C@H](\C=C\C2=CC=C(Cl)C=C2)C(C#N)(C#N)C1(OC)OC,CHEMBL1976304,COC1(OC)C(\C=C\c2ccc(Cl)cc2)C(C#N)(C#N)C1(OC)OC,=,7832,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,362.81,2.21,84.5,0
ClC1=NC=C(C=C1Br)S(=O)(=O)N1CCC2=CC=CC=C12,CHEMBL1307636,Clc1ncc(cc1Br)S(=O)(=O)N2CCc3ccccc23,=,5308,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,373.65,3.07,58.65,0
COC(=O)OC1=CC=C(\C=C\C(=O)OC)C=C1OC(=O)OC,CHEMBL1587526,COC(=O)Oc1ccc(\C=C\C(=O)OC)cc1OC(=O)OC,=,10710,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,310.26,2.98,97.36,0
CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C1=NN=C(O1)S(=O)(=O)CC1=CC=CC(F)=C1,CHEMBL1549175,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c2oc(nn2)S(=O)(=O)Cc3cccc(F)c3,=,3741,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,461.51,4,119.77,0
CC(C)(C)C1=NN(C(NC(=O)CCl)=C1)C1=CC=CC=C1,CHEMBL1525669,CC(C)(C)c1cc(NC(=O)CCl)n(n1)c2ccccc2,=,3759,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,291.78,3.66,46.92,0
CC1=NN2C(N=C3CCCC3=C2NCC2=CC=CC=N2)=C1C1=CC=CC=C1,CHEMBL1393319,Cc1nn2c(NCc3ccccn3)c4CCCc4nc2c1c5ccccc5,=,4277,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,355.44,3.96,55.11,0
ClCC(=O)NCC1=CC(=NO1)C1=CC=C(Cl)C=C1,CHEMBL1472103,ClCC(=O)NCc1onc(c1)c2ccc(Cl)cc2,=,8352,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,285.13,2.63,55.13,0
CN1C\C=C\COCC2=CC=CC(=C2)C2=CC=NC(NC3=CC=CC(C1)=C3)=N2,CHEMBL1944699,CN1C\C=C\COCc2cccc(c2)c3ccnc(Nc4cccc(C1)c4)n3,=,1700,nM,O60674,Tyrosine-protein kinase JAK2,22148278,J. Med. Chem.,2012,55,1,169,372.46,4.23,50.28,0
C(N1C\C=C\CCOC2=CC=CC(=C2)C2=CC=NC(NC3=CC=CC(C1)=C3)=N2)C1=CC=CC=N1,CHEMBL1945045,C(N1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4cccc(C1)c4)n3)c5ccccn5,=,1350,nM,O60674,Tyrosine-protein kinase JAK2,22148278,J. Med. Chem.,2012,55,1,169,449.55,5.38,63.17,1
CN1C\C=C\CCOC2=CC=CC(=C2)C2=CC=NC(NC3=CC=C(N4CCOCC4)C(C1)=C3)=N2,CHEMBL1945569,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(N5CCOCC5)c(C1)c4)n3,=,49,nM,O60674,Tyrosine-protein kinase JAK2,22148278,J. Med. Chem.,2012,55,1,169,457.57,4.58,62.75,0
CN1C\C=C\CCOC2=CC=CC(=C2)C2=CC=NC(NC3=CC=C(OCCN4CCOCC4)C(C1)=C3)=N2,CHEMBL1945705,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(OCCN5CCOCC5)c(C1)c4)n3,=,120,nM,O60674,Tyrosine-protein kinase JAK2,22148278,J. Med. Chem.,2012,55,1,169,501.62,4.54,71.98,1
CN1C\C=C\CCOC2=CC=CC(=C2)C2=NC(NC3=CC=CC(C1)=C3)=NC=C2C,CHEMBL1933343,CN1C\C=C\CCOc2cccc(c2)c3nc(Nc4cccc(C1)c4)ncc3C,=,180,nM,O60674,Tyrosine-protein kinase JAK2,22148278,J. Med. Chem.,2012,55,1,169,386.49,5.22,50.28,1
NC(=O)C1=CN=C2NC=CC2=C1NC1CCN(CC2=CC=CC(=C2)C#N)CC1,CHEMBL3593769,NC(=O)c1cnc2[nH]ccc2c1NC3CCN(Cc4cccc(c4)C#N)CC3,=,46,nM,O60674,Tyrosine-protein kinase JAK2,26071372,Bioorg. Med. Chem.,2015,23,15,4871,374.44,1.56,110.82,0
COC1=CC=C(Cl)C(NC2=C3C=C(N(C)C3=NC(=N2)N2C=NC3=CC=NC=C23)C(=O)N2CCN(C)CC2)=C1,CHEMBL393375,COc1ccc(Cl)c(Nc2nc(nc3c2cc(C(=O)N4CCN(C)CC4)n3C)n5cnc6ccncc56)c1,=,132,nM,O60674,Tyrosine-protein kinase JAK2,17189692,Bioorg. Med. Chem. Lett.,2007,17,5,1250,532,3.82,106.23,1
C[C@H](NC1=C2C=C(N(C)C2=NC(=N1)N1C=NC2=CC=NC=C12)C(=O)N1CCN(C)CC1)C(C)(C)O,CHEMBL232147,C[C@H](Nc1nc(nc2c1cc(C(=O)N3CCN(C)CC3)n2C)n4cnc5ccncc45)C(C)(C)O,=,209,nM,O60674,Tyrosine-protein kinase JAK2,17189692,Bioorg. Med. Chem. Lett.,2007,17,5,1250,477.56,1.85,117.23,0
CNC1=NC=NC(=N1)C1=CC=CN=C1OC1=CC(NC(=O)C2=CC=CC(OC(F)(F)C(F)F)=C2)=CC=C1C,CHEMBL246356,CNc1ncnc(n1)c2cccnc2Oc3cc(NC(=O)c4cccc(OC(F)(F)C(F)F)c4)ccc3C,=,1746,nM,O60674,Tyrosine-protein kinase JAK2,17350837,Bioorg. Med. Chem. Lett.,2007,17,10,2886,528.46,5.6,111.15,2
CC(=O)N[C@@H]1CCC2=CC=C(OC3=CN=C4NC=C(C(=O)N[C@@H](C(=O)N5CC(C5)C#N)C(C)(C)C)C4=N3)C=C12,CHEMBL2376440,CC(=O)N[C@@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)N[C@@H](C(=O)N5CC(C5)C#N)C(C)(C)C)c4n3)cc12,=,446,nM,O60674,Tyrosine-protein kinase JAK2,23541670,Bioorg. Med. Chem. Lett.,2013,23,9,2522,529.59,2.02,153.1,1
CC(C)NC(=O)C1=CNC2=NC=C(OC3=CC=C4CC[C@@H](NC(C)=O)C4=C3)N=C12,CHEMBL2376340,CC(C)NC(=O)c1c[nH]c2ncc(Oc3ccc4CC[C@@H](NC(=O)C)c4c3)nc12,=,1010,nM,O60674,Tyrosine-protein kinase JAK2,23541670,Bioorg. Med. Chem. Lett.,2013,23,9,2522,393.44,2.17,109,0
COC1=CC(OC2=CN=C3NC=C(C(=O)NC(C)C)C3=N2)=CC(OC)=C1,CHEMBL2376333,COc1cc(OC)cc(Oc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)c1,=,1000,nM,O60674,Tyrosine-protein kinase JAK2,23541670,Bioorg. Med. Chem. Lett.,2013,23,9,2522,356.38,2.45,98.36,0
CC(C)(O)C(=O)N1CCN(CC1)C1=CC=C(C(=C1)C1=C(C(=O)NC1=O)C1=CNC2=CC=CC=C12)C(F)(F)F,CHEMBL1650951,CC(C)(O)C(=O)N1CCN(CC1)c2ccc(c(c2)C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)C(F)(F)F,=,2550,nM,O60674,Tyrosine-protein kinase JAK2,21155605,J. Med. Chem.,2011,54,1,284,526.51,3.3,105.74,1
FC(F)(F)C1=CC=C(C=C1C1=C(C(=O)NC1=O)C1=CNC2=CC=CC=C12)N1CCNCC1,CHEMBL1650953,FC(F)(F)c1ccc(cc1C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)N5CCNCC5,=,4700,nM,O60674,Tyrosine-protein kinase JAK2,21155605,J. Med. Chem.,2011,54,1,284,440.42,3.38,77.23,0
FC(F)(F)C1=CN=C(N=C1C1=C(C(=O)NC1=O)C1=CNC2=CC=CC=C12)N1CCC(=O)CC1,CHEMBL1235315,FC(F)(F)c1cnc(nc1C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)N5CCC(=O)CC5,=,330,nM,O60674,Tyrosine-protein kinase JAK2,21155605,J. Med. Chem.,2011,54,1,284,455.39,2.9,108.04,0
CN(C)[C@H]1CCCN(C1)C1=CC=C(C=C1NC(=O)C1=CC(=CC=C1F)C#CC1=CN=C(N)N=C1)C(F)(F)F,CHEMBL386637,CN(C)[C@H]1CCCN(C1)c2ccc(cc2NC(=O)c3cc(ccc3F)C#Cc4cnc(N)nc4)C(F)(F)F,=,550,nM,O60674,Tyrosine-protein kinase JAK2,17253679,J. Med. Chem.,2007,50,4,627,526.53,4.66,87.38,1
CC1=CC=C(NC2=NC(N[C@@H]3CCOC[C@@H]3N)=NC=C2C(N)=O)C=C1,CHEMBL1835071,Cc1ccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(=O)N)cc1,=,1584.89,nM,O60674,Tyrosine-protein kinase JAK2,21903390,Bioorg. Med. Chem. Lett.,2011,21,20,6188,342.4,0.94,128.18,0
CC1=CN(C=C1CN1CC[C@@H](O)C1)C1=NC(NC2=CC(C)=CC(C)=C2)=NC=C1,CHEMBL3622924,Cc1cc(C)cc(Nc2nccc(n2)n3cc(C)c(CN4CC[C@@H](O)C4)c3)c1,=,115300,nM,O60674,Tyrosine-protein kinase JAK2,26384287,Bioorg. Med. Chem. Lett.,2015,25,20,4441,377.48,4.44,66.21,0
OCC1=NC=C(F)C=C1[C@@H]1CCCN1C1=NC2=C(C=NN2C=C1)C(=O)NC1CC1,CHEMBL3675954,OCc1ncc(F)cc1C2CCCN2c3ccn4ncc(C(=O)NC5CC5)c4n3,=,698,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,396.42,1.24,95.65,0
COC1=NC=C(F)C=C1[C@H]1CCCN1C1=NC2=C(C=NN2C=C1)C(=O)NC1CCN(CC1)S(C)(=O)=O,CHEMBL3676033,COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NC5CCN(CC5)S(=O)(=O)C)c4n3,=,444,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,517.58,0.82,130.4,1
CN1C=C(F)C=C([C@H]2CCCN2C2=NC3=C(C=NN3C=C2)C(=O)N[C@H]2CC[C@H](O)CC2)C1=O,CHEMBL3676100,CN1C=C(F)C=C([C@H]2CCCN2c3ccn4ncc(C(=O)NC5CCC(O)CC5)c4n3)C1=O,=,499,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,454.5,0.63,103.07,0
OCC1=CC=C(F)C=C1[C@@H]1CCCN1C1=NC2=C(C=NN2C=C1)C(=O)N[C@H]1CC[C@H](O)CC1,CHEMBL3675912,OCc1ccc(F)cc1C2CCCN2c3ccn4ncc(C(=O)NC5CCC(O)CC5)c4n3,=,42.3,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,453.51,2.31,102.99,0
NS(=O)(=O)N1CCC(CC1)NC(=O)C1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=CC(F)=CC=C1F,CHEMBL3675923,NS(=O)(=O)N1CCC(CC1)NC(=O)c2cnn3ccc(nc23)N4CCCC4c5cc(F)ccc5F,=,195,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,505.54,0.84,134.31,1
C1CN(CCO1)C1=CC=C(NC2=NC=CC(=N2)C2=CC=C3NC=CC3=C2)C=C1,CHEMBL1081138,C1CN(CCO1)c2ccc(Nc3nccc(n3)c4ccc5[nH]ccc5c4)cc2,=,33,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,371.44,4.21,66.06,0
CN1CCN(CC2=CC=C(NC3=NC=CC(=N3)C3=CC=C(NS(C)(=O)=O)C=C3)C=C2)CC1,CHEMBL1078971,CN1CCN(Cc2ccc(Nc3nccc(n3)c4ccc(NS(=O)(=O)C)cc4)cc2)CC1,=,18,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,452.57,3.01,98.84,0
CS(=O)(=O)NC1=CC=C(C=C1)C1=CC=NC(NC2=CC=C(C=C2)N2CCOCC2)=N1,CHEMBL1079077,CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,=,4,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,425.5,2.83,104.83,0
COC1=CC(=CC=C1C(=O)NCC#N)C1=CC=NC(NC2=CC=C(C=C2)N2CCOCC2)=N1,CHEMBL1078364,COc1cc(ccc1C(=O)NCC#N)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,=,30,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,444.49,2.84,112.4,0
COC1=CN=C(NC2=CC=C(C=C2)N2CCOCC2)N=C1C1=CC=C(C=C1)C(=O)NCC#N,CHEMBL1079120,COc1cnc(Nc2ccc(cc2)N3CCOCC3)nc1c4ccc(cc4)C(=O)NCC#N,=,186,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,444.49,2.84,112.4,0
O=C(NCC#N)C1=CC=C(C=C1)C1=CC=NC(NC2=CC=CC(=C2)N2CCOCC2)=N1,CHEMBL1078229,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3cccc(c3)N4CCOCC4)n2,=,113,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,414.46,2.86,103.16,0
CN1CCN(CC1)C1=CC=CC(NC2=NN3C=CC=C(C3=N2)C2=CC=C(F)C=C2)=C1,CHEMBL2062812,CN1CCN(CC1)c2cccc(Nc3nc4c(cccn4n3)c5ccc(F)cc5)c2,=,26,nM,O60674,Tyrosine-protein kinase JAK2,22594690,J. Med. Chem.,2012,55,11,5243,402.47,4.54,48.7,0
CC(C)(C)NC(=O)C1=C2SC(=CC2=C(N)N=C1)C1=CC=C(C=C1)N1CCOCC1,CHEMBL1938647,CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,=,1170,nM,O60674,Tyrosine-protein kinase JAK2,22087750,J. Med. Chem.,2011,54,24,8440,410.53,3.13,108.72,0
OC1=CC=C(C=C1F)[C@@H]1NC2=CC=CC=C2C2=C3C(NC=C13)=NC=N2,CHEMBL589869,Oc1ccc(cc1F)C2Nc3ccccc3c4ncnc5[nH]cc2c45,=,140,nM,O60674,Tyrosine-protein kinase JAK2,19945871,Bioorg. Med. Chem. Lett.,2010,20,1,153,332.33,3.63,73.83,0
CS(=O)(=O)N1CCC[C@@H](C1)NC1=NC=CC=C1C1=CN=C2NC=CC2=N1,CHEMBL3335688,CS(=O)(=O)N1CCC[C@@H](C1)Nc2ncccc2c3cnc4[nH]ccc4n3,=,82,nM,O60674,Tyrosine-protein kinase JAK2,25262541,Bioorg. Med. Chem. Lett.,2014,24,21,4969,372.44,1.27,112.24,0
CS(=O)(=O)N1CCC[C@@H](C1)NC1=NC(N)=NC=C1C1=CN=C2NC=CC2=N1,CHEMBL3335694,CS(=O)(=O)N1CCC[C@@H](C1)Nc2nc(N)ncc2c3cnc4[nH]ccc4n3,=,71,nM,O60674,Tyrosine-protein kinase JAK2,25262541,Bioorg. Med. Chem. Lett.,2014,24,21,4969,388.45,0.42,151.16,0
C[C@@H]1CCN(C[C@@H]1N1C(=O)NC2=CN=C3NC=CC3=C12)C(=O)CC#N,CHEMBL3593591,C[C@@H]1CCN(C[C@@H]1N2C(=O)Nc3cnc4[nH]ccc4c23)C(=O)CC#N,=,2.6,nM,O60674,Tyrosine-protein kinase JAK2,26059596,Bioorg. Med. Chem.,2015,23,15,4846,338.36,0.51,105.12,0
